ID,SMILES,B_feature,A_feature,FE1,FE2,FE3,FE4,FE5,FE6,FE7,FE8,Label
2,C1C2CC3CC1CC(C2)(C3)[NH3+],Eu,Cs,4,0,55,1,0.868251812,4,167,7.296,0
3,C1CC[NH2+]CC1,Eu,Cs,1,1,55,1,0.976756002,0,167,5.058,0
10,CCC(C)[NH3+],Eu,Rb,0,0,37,1,3.96,0,166,5.212,0
6,C1=C[NH+]=CC=C1C(=O)O,Eu,K,0,0,19,3,1.2528322,0,152,3.4,0
8,CCCC[NH3+],La,K,0,0,19,1,3.96,0,152,4.179,0
14,C1C[NH+]2CCC1CC2,Pr,K,3,3,19,1,0.655158569,2,152,6.513,1
15,C1C[NH+]2CCC1C(C2)O,Ce,Rb,3,3,37,2,0.864355867,2,166,6.437,1
16,C[N+]12CN3CN(C1)CN(C3)C2,Eu,Rb,4,4,37,4,0.839580225,4,166,6.828,1
17,C1C[NH+]2CCC1C(=O)C2,Eu,Rb,3,3,37,2,0.778102307,2,166,6.728,1
20,C1C[NH+]2CCC1C(C2)O,Tb,Rb,3,3,37,2,0.864355867,2,166,6.437,1
