ID,SMILES,B_feature,A_feature,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F79,F80,F81,F84,F85,Label
2,C1C2CC3CC1CC(C2)(C3)[NH3+],Eu,Cs,-11.602549,-4.927071,7.938,7.123,7.296,152.143376,134.0025254,11,1,0,1,6.473203018,1.820089738,0.868251812,0,0,4,4,4,0,4,1,3,4,0,4,0,27.64,0,68.34612729,55,0.471626,3.893905548,265,167,0.79,132.91,5,2.32,0.1542125,76.5,55,132.905452,951.6,301.6,400.9,6.05,6,0.241,68.3,1.873,11,24,2,63,5.670385,11.241,24.9,199,108.7,9,1.19,151.96,25,1.68,0.189935,177.4,63,151.964,1870,1095,184,4.61,0.176,176,5.24,2,7,0
3,C1CC[NH2+]CC1,Eu,Cs,-13.514717,-3.958572,6.735,7.282,5.058,86.0964258,74.00252542,6,1,0,1,4.127785235,2.189674339,0.976756002,0,0,0,0,0,0,1,1,2,1,1,1,0,16.61,1,38.74305052,55,0.471626,3.893905548,265,167,0.79,132.91,5,2.32,0.1542125,76.5,55,132.905452,951.6,301.6,400.9,6.05,6,0.241,68.3,1.873,11,24,2,63,5.670385,11.241,24.9,199,108.7,9,1.19,151.96,25,1.68,0.189935,177.4,63,151.964,1870,1095,184,4.61,0.176,176,5.24,2,7,0
10,CCC(C)[NH3+],Eu,Rb,-13.570078,-4.380416,7.873,6.265,5.212,74.0964258,62.00252542,5,1,1,1,4.96,2.212525253,3.96,0,1,0,0,0,0,0,1,3,0,0,0,1,27.64,0,33.17396807,37,0.48592,4.177128,248,166,0.82,85.468,4,2.1,0.104686,80.9,37,85.4678,961,312.2,319.8,5.59,5,0.36,75.8,1.53,9,18,1,63,5.670385,11.241,24.9,199,108.7,9,1.19,151.96,25,1.68,0.189935,177.4,63,151.964,1870,1095,184,4.61,0.176,176,5.24,2,7,0
6,C1=C[NH+]=CC=C1C(=O)O,Eu,K,-11.987192,-7.446382,9.186,6.712,3.4,124.0393049,117.9923547,9,3,1,0,5.751233596,2.259334201,1.2528322,1,0,0,0,0,1,0,3,2,1,0,0,0,51.44,1,51.97174907,19,0.50147,4.34066354,227,152,0.82,39.098,3,1.96,0.0981896,89,19,39.0983,1047,336.8,289.7,5.23,4,0.753,2.33,0.89,7,12,0,63,5.670385,11.241,24.9,199,108.7,9,1.19,151.96,25,1.68,0.189935,177.4,63,151.964,1870,1095,184,4.61,0.176,176,5.24,2,7,0
8,CCCC[NH3+],La,K,-12.716852,-4.602128,9.211,4.561,4.179,74.0964258,62.00252542,5,1,2,1,4.96,3.96,3.96,0,0,0,0,0,0,0,1,3,0,0,0,0,27.64,0,33.17396807,19,0.50147,4.34066354,227,152,0.82,39.098,3,1.96,0.0981896,89,19,39.0983,1047,336.8,289.7,5.23,4,0.753,2.33,0.89,7,12,0,57,5.5769,11.18492,19.1773,187,117.2,3,1.11,138.91,13,1.8,0.163142,431,57,138.90547,3730,1194,215,3.75,0.197,402,6.15,3,0,0
14,C1C[NH+]2CCC1CC2,Pr,K,-13.12606,-4.585472,7.055,6.647,6.513,112.1120759,98.00252542,8,1,0,1,4.803032526,1.728380667,0.655158569,0,0,2,0,0,0,3,1,1,3,3,3,0,4.44,3,50.67707508,19,0.50147,4.34066354,227,152,0.82,39.098,3,1.96,0.0981896,89,19,39.0983,1047,336.8,289.7,5.23,4,0.753,2.33,0.89,7,12,0,59,5.473,10.55,21.6237,182,113,5,1.13,140.91,17,1.76,0.17208,356.9,59,140.90766,3785,1204,216,3.67,0.192,331,6.773,2,3,1
15,C1C[NH+]2CCC1C(C2)O,Ce,Rb,-11.749042,-4.518923,8.058,6.587,6.437,128.1069905,113.99744,9,2,0,1,5.68580385,1.957306778,0.864355867,0,1,2,0,0,0,3,2,2,3,3,3,1,24.67,3,55.47130883,37,0.48592,4.177128,248,166,0.82,85.468,4,2.1,0.104686,80.9,37,85.4678,961,312.2,319.8,5.59,5,0.36,75.8,1.53,9,18,1,58,5.5386,10.85,20.1974,183,115,4,1.12,140.12,15,1.63,0.16761,420.1,58,140.116,3699,1072,205,5.16,0.205,398,6.77,3,1,1
16,C[N+]12CN3CN(C1)CN(C3)C2,Eu,Rb,-10.798703,-4.05974,7.967,6.85,6.828,155.1291229,140.0117474,11,4,0,1,6.366334178,1.770533707,0.839580225,0,0,4,0,0,0,4,4,0,4,4,4,0,9.72,4,67.16071642,37,0.48592,4.177128,248,166,0.82,85.468,4,2.1,0.104686,80.9,37,85.4678,961,312.2,319.8,5.59,5,0.36,75.8,1.53,9,18,1,63,5.670385,11.241,24.9,199,108.7,9,1.19,151.96,25,1.68,0.189935,177.4,63,151.964,1870,1095,184,4.61,0.176,176,5.24,2,7,1
17,C1C[NH+]2CCC1C(=O)C2,Eu,Rb,-11.420533,-5.319448,7.62,6.422,6.728,126.0913404,113.99744,9,2,0,0.857142857,5.417604503,1.805343651,0.778102307,0,0,2,0,0,0,3,2,1,3,3,3,0,21.51,3,54.83859718,37,0.48592,4.177128,248,166,0.82,85.468,4,2.1,0.104686,80.9,37,85.4678,961,312.2,319.8,5.59,5,0.36,75.8,1.53,9,18,1,63,5.670385,11.241,24.9,199,108.7,9,1.19,151.96,25,1.68,0.189935,177.4,63,151.964,1870,1095,184,4.61,0.176,176,5.24,2,7,1
20,C1C[NH+]2CCC1C(C2)O,Tb,Rb,-11.749042,-4.518923,8.058,6.587,6.437,128.1069905,113.99744,9,2,0,1,5.68580385,1.957306778,0.864355867,0,1,2,0,0,0,3,2,2,3,3,3,1,24.67,3,55.47130883,37,0.48592,4.177128,248,166,0.82,85.468,4,2.1,0.104686,80.9,37,85.4678,961,312.2,319.8,5.59,5,0.36,75.8,1.53,9,18,1,65,5.8638,11.52,21.91,176,106.3,11,1.13,158.93,29,1.68,0.198863,388.7,65,158.92535,3296,1629,170,3.6,0.183,389,8.23,2,9,1
